,北京,上海,福州,廈門
2019-01-01-00,38.23,19.12,18.05,6.9
2019-01-01-01,37.7,12.21,16.99,6.37
2019-01-01-02,37.17,10.62,13.81,5.84
2019-01-01-03,36.11,10.09,13.81,5.84
2019-01-01-04,35.58,8.5,11.68,5.31
2019-01-01-05,31.33,9.03,11.15,4.78
2019-01-01-06,32.39,9.56,9.56,4.25
2019-01-01-07,31.86,12.21,11.15,7.43
2019-01-01-08,32.39,13.28,14.34,8.5
2019-01-01-09,28.67,14.34,15.4,10.09
2019-01-01-10,22.3,14.34,14.87,9.03
2019-01-01-11,15.93,13.81,14.87,7.97
2019-01-01-12,10.62,14.87,13.81,7.43
2019-01-01-13,8.5,14.87,10.62,6.9
2019-01-01-14,7.97,16.99,11.15,6.9
2019-01-01-15,8.5,18.05,10.09,7.43
2019-01-01-16,8.5,14.87,9.56,9.56
2019-01-01-17,11.15,14.34,12.21,11.68
2019-01-01-18,16.99,15.4,11.15,15.4
2019-01-01-19,18.58,15.4,10.62,15.4
2019-01-01-20,17.52,16.99,10.62,16.99
2019-01-01-21,17.52,21.24,9.56,13.81
2019-01-01-22,17.52,26.02,10.62,11.68
2019-01-01-23,19.65,26.02,10.09,11.68
2019-01-02-00,22.3,20.71,10.62,9.03
2019-01-02-01,20.71,18.05,8.5,7.43
2019-01-02-02,22.83,16.99,7.97,5.84
2019-01-02-03,22.83,17.52,7.97,5.31
2019-01-02-04,21.24,16.99,7.97,4.25
2019-01-02-05,21.24,16.46,7.97,3.72
2019-01-02-06,19.12,19.65,7.97,4.78
2019-01-02-07,19.65,26.02,9.03,7.97
2019-01-02-08,23.36,31.33,10.62,12.74
2019-01-02-09,23.36,29.2,12.21,11.15
2019-01-02-10,20.71,25.49,15.4,11.15
2019-01-02-11,18.58,24.43,14.34,10.09
2019-01-02-12,18.05,22.3,13.81,9.03
2019-01-02-13,18.58,20.71,10.62,9.03
2019-01-02-14,21.24,20.18,15.4,9.56
2019-01-02-15,23.9,21.24,19.12,9.56
2019-01-02-16,30.8,20.71,16.99,10.09
2019-01-02-17,35.05,20.71,18.58,13.28
2019-01-02-18,38.76,22.83,20.71,13.81
2019-01-02-19,42.48,24.43,23.9,13.81
2019-01-02-20,44.6,23.9,20.18,14.87
2019-01-02-21,44.6,27.08,21.77,14.34
2019-01-02-22,47.26,30.8,20.18,12.74
2019-01-02-23,45.67,32.92,19.65,11.68
2019-01-03-00,45.14,37.17,16.99,9.56
2019-01-03-01,45.67,38.23,14.87,7.97
2019-01-03-02,46.73,33.98,13.81,7.97
