,北京,上海,福州,廈門
2019-01-01-00,2.04,24.43,11.2,24.94
2019-01-01-01,2.04,31.05,12.72,25.45
2019-01-01-02,2.04,32.07,15.78,25.96
2019-01-01-03,2.04,32.07,14.25,24.94
2019-01-01-04,1.53,33.59,18.32,26.47
2019-01-01-05,3.56,33.59,18.83,25.96
2019-01-01-06,3.05,32.58,19.85,25.45
2019-01-01-07,2.54,31.05,17.82,24.94
2019-01-01-08,2.04,29.01,13.23,23.41
2019-01-01-09,3.05,28.5,12.22,21.38
2019-01-01-10,6.62,29.52,13.74,24.43
2019-01-01-11,12.22,30.54,14.76,26.98
2019-01-01-12,18.32,30.54,18.32,29.52
2019-01-01-13,22.9,31.56,25.45,31.56
2019-01-01-14,25.45,31.05,26.98,34.1
2019-01-01-15,26.47,33.08,30.03,35.63
2019-01-01-16,26.47,37.16,31.05,34.1
2019-01-01-17,23.92,37.16,30.03,32.07
2019-01-01-18,17.82,36.14,28.5,29.52
2019-01-01-19,15.78,36.14,29.01,25.96
2019-01-01-20,15.78,33.08,29.52,23.41
2019-01-01-21,16.29,29.52,31.56,24.43
2019-01-01-22,15.27,24.43,30.03,25.96
2019-01-01-23,12.72,24.43,28.0,24.43
2019-01-02-00,11.2,28.5,27.49,26.98
2019-01-02-01,12.22,29.52,30.03,26.98
2019-01-02-02,10.69,29.52,30.54,28.5
2019-01-02-03,10.69,29.01,30.54,28.0
2019-01-02-04,11.71,28.5,29.52,28.0
2019-01-02-05,11.71,28.0,27.49,28.0
2019-01-02-06,13.74,24.43,27.49,26.98
2019-01-02-07,13.23,17.31,25.45,25.45
2019-01-02-08,10.18,12.72,24.94,21.38
2019-01-02-09,9.16,14.76,23.41,22.4
2019-01-02-10,12.22,20.36,19.85,22.4
2019-01-02-11,13.74,24.43,21.38,24.94
2019-01-02-12,16.8,28.5,23.41,26.98
2019-01-02-13,17.82,32.58,25.96,27.49
2019-01-02-14,16.29,34.61,24.94,28.5
2019-01-02-15,14.76,35.63,21.38,29.01
2019-01-02-16,10.18,36.14,21.38,30.54
2019-01-02-17,6.62,36.65,19.34,29.01
2019-01-02-18,3.05,34.61,16.8,25.96
2019-01-02-19,2.04,32.58,14.25,25.45
2019-01-02-20,2.54,33.08,16.8,24.94
2019-01-02-21,2.54,30.03,13.23,23.41
2019-01-02-22,3.05,24.43,13.23,23.41
2019-01-02-23,3.05,20.36,14.25,24.43
2019-01-03-00,3.05,15.27,16.8,23.92
2019-01-03-01,3.05,12.22,18.32,24.43
2019-01-03-02,3.05,15.78,19.34,24.94
2019-01-03-03,2.54,23.41,18.83,24.94
2019-01-03-04,4.58,21.38,19.34,24.43
2019-01-03-05,3.05,17.82,18.83,19.34
2019-01-03-06,2.54,13.23,17.31,19.85
2019-01-03-07,2.54,10.69,19.85,21.38
2019-01-03-08,2.04,9.67,18.32,14.76
2019-01-03-09,2.04,11.2,15.78,17.31
2019-01-03-10,2.54,14.76,17.82,15.78
2019-01-03-11,4.07,22.4,21.38,15.27
2019-01-03-12,5.09,28.0,22.4,20.87
2019-01-03-13,6.11,30.03,23.92,23.92
2019-01-03-14,7.64,31.05,22.4,27.49
2019-01-03-15,7.13,31.05,20.87,22.9
2019-01-03-16,5.6,29.01,22.4,24.43
2019-01-03-17,4.07,26.47,22.4,21.89
2019-01-03-18,2.54,22.9,22.4,19.85
2019-01-03-19,2.04,16.8,22.4,19.34
2019-01-03-20,2.54,16.8,21.89,20.36
2019-01-03-21,2.54,15.78,20.36,22.4
2019-01-03-22,2.54,13.23,21.38,20.87
2019-01-03-23,4.07,11.71,20.36,22.4
2019-01-04-00,2.54,13.74,18.83,23.41
2019-01-04-01,4.07,18.83,13.74,24.94
2019-01-04-02,13.23,22.9,11.71,24.94
2019-01-04-03,18.32,29.01,12.72,18.32
2019-01-04-04,22.9,30.54,15.27,15.27
2019-01-04-05,24.43,30.03,16.29,11.2
2019-01-04-06,26.98,26.98,15.27,9.67
2019-01-04-07,27.49,20.36,12.72,8.65
2019-01-04-08,27.49,12.72,11.71,6.62
2019-01-04-09,26.47,11.71,11.71,6.11
2019-01-04-10,28.0,10.18,13.74,7.13
2019-01-04-11,30.54,11.2,17.31,8.14
2019-01-04-12,32.07,13.23,19.85,12.72
2019-01-04-13,33.08,15.27,22.4,14.25
2019-01-04-14,34.1,16.29,21.38,20.87
2019-01-04-15,34.1,14.25,20.36,20.87
2019-01-04-16,31.56,10.18,15.78,14.25
2019-01-04-17,28.5,5.09,9.16,11.2
2019-01-04-18,21.89,3.56,5.09,7.64
2019-01-04-19,18.83,3.05,3.56,8.14
2019-01-04-20,17.31,3.05,4.07,10.18
2019-01-04-21,14.25,3.05,3.56,11.2
2019-01-04-22,15.27,3.05,4.58,12.22
2019-01-04-23,19.85,3.05,4.58,11.2
2019-01-05-00,18.32,2.54,4.07,15.78
2019-01-05-01,16.8,3.05,4.58,17.31
2019-01-05-02,17.82,2.54,3.56,15.78
2019-01-05-03,19.85,2.54,5.09,14.76
2019-01-05-04,18.83,3.05,5.09,13.23
2019-01-05-05,18.83,3.05,7.64,12.72
2019-01-05-06,19.85,3.05,8.14,14.25
2019-01-05-07,17.82,4.07,7.64,12.72
2019-01-05-08,16.29,9.16,7.13,12.22
2019-01-05-09,18.83,16.29,7.13,14.76
2019-01-05-10,22.4,19.85,9.67,16.8
2019-01-05-11,26.47,21.89,11.71,16.29
2019-01-05-12,27.49,21.38,13.23,16.8
2019-01-05-13,28.0,21.38,14.25,18.83
2019-01-05-14,27.49,19.85,15.78,22.4
2019-01-05-15,26.98,18.32,17.31,22.4
2019-01-05-16,23.92,18.83,15.27,24.43
2019-01-05-17,19.85,18.83,13.74,19.85
2019-01-05-18,12.22,14.76,10.69,15.27
2019-01-05-19,6.62,16.29,8.14,9.16
2019-01-05-20,4.58,20.36,9.67,4.58
2019-01-05-21,4.07,19.85,10.18,2.54
2019-01-05-22,5.6,24.43,10.69,3.56
2019-01-05-23,4.07,26.98,10.18,5.09
2019-01-06-00,3.56,28.0,7.13,8.14
2019-01-06-01,4.58,24.43,8.65,10.69
2019-01-06-02,2.54,26.98,7.64,11.71
2019-01-06-03,3.05,30.03,8.14,9.67
2019-01-06-04,4.07,31.05,10.18,6.62
