,北京,上海,福州,廈門
2019-01-01-00,80.0,23.0,28.0,9.0
2019-01-01-01,76.0,21.0,26.0,8.0
2019-01-01-02,69.0,20.0,21.0,7.0
2019-01-01-03,72.0,18.0,20.0,7.0
2019-01-01-04,64.0,16.0,18.0,7.0
2019-01-01-05,67.0,17.0,18.0,8.0
2019-01-01-06,70.0,18.0,18.0,8.0
2019-01-01-07,67.0,22.0,19.0,10.0
2019-01-01-08,72.0,29.0,25.0,11.0
2019-01-01-09,76.0,29.0,29.0,15.0
2019-01-01-10,67.0,32.0,27.0,17.0
2019-01-01-11,57.0,33.0,22.0,16.0
2019-01-01-12,47.0,35.0,23.0,19.0
2019-01-01-13,35.0,38.0,22.0,23.0
2019-01-01-14,33.0,46.0,19.0,26.0
2019-01-01-15,31.0,47.0,17.0,35.0
2019-01-01-16,39.0,43.0,20.0,31.0
2019-01-01-17,38.0,38.0,23.0,32.0
2019-01-01-18,34.0,36.0,21.0,39.0
2019-01-01-19,36.0,43.0,23.0,38.0
2019-01-01-20,35.0,46.0,22.0,35.0
2019-01-01-21,30.0,55.0,18.0,30.0
2019-01-01-22,31.0,54.0,23.0,17.0
2019-01-01-23,31.0,52.0,26.0,18.0
2019-01-02-00,32.0,43.0,24.0,11.0
2019-01-02-01,32.0,46.0,28.0,12.0
2019-01-02-02,34.0,51.0,24.0,9.0
2019-01-02-03,39.0,52.0,23.0,6.0
2019-01-02-04,29.0,60.0,29.0,10.0
2019-01-02-05,25.0,64.0,30.0,11.0
2019-01-02-06,20.0,70.0,26.0,11.0
2019-01-02-07,21.0,76.0,29.0,12.0
2019-01-02-08,23.0,81.0,33.0,16.0
2019-01-02-09,33.0,90.0,35.0,20.0
2019-01-02-10,31.0,94.0,33.0,20.0
2019-01-02-11,33.0,85.0,24.0,20.0
2019-01-02-12,33.0,84.0,24.0,23.0
2019-01-02-13,40.0,80.0,23.0,25.0
2019-01-02-14,51.0,78.0,25.0,24.0
2019-01-02-15,56.0,77.0,39.0,22.0
2019-01-02-16,71.0,77.0,38.0,22.0
2019-01-02-17,81.0,74.0,41.0,26.0
2019-01-02-18,91.0,75.0,45.0,27.0
2019-01-02-19,107.0,73.0,52.0,21.0
2019-01-02-20,136.0,73.0,41.0,22.0
2019-01-02-21,150.0,75.0,38.0,16.0
2019-01-02-22,169.0,76.0,33.0,14.0
2019-01-02-23,165.0,74.0,31.0,19.0
2019-01-03-00,164.0,74.0,21.0,19.0
2019-01-03-01,154.0,78.0,18.0,16.0
2019-01-03-02,162.0,74.0,19.0,16.0
2019-01-03-03,152.0,62.0,25.0,10.0
2019-01-03-04,131.0,59.0,14.0,12.0
