,北京,上海,福州,廈門
2019-01-01-00,55.0,16.0,19.0,6.0
2019-01-01-01,53.0,16.0,19.0,5.0
2019-01-01-02,49.0,15.0,17.0,6.0
2019-01-01-03,54.0,16.0,17.0,5.0
2019-01-01-04,54.0,15.0,15.0,4.0
2019-01-01-05,51.0,15.0,15.0,4.0
2019-01-01-06,50.0,14.0,13.0,6.0
2019-01-01-07,49.0,16.0,12.0,5.0
2019-01-01-08,51.0,18.0,13.0,5.0
2019-01-01-09,54.0,23.0,14.0,6.0
2019-01-01-10,51.0,28.0,14.0,6.0
2019-01-01-11,39.0,28.0,14.0,7.0
2019-01-01-12,29.0,30.0,13.0,6.0
2019-01-01-13,23.0,33.0,11.0,11.0
2019-01-01-14,22.0,36.0,11.0,10.0
2019-01-01-15,19.0,36.0,10.0,10.0
2019-01-01-16,19.0,33.0,11.0,11.0
2019-01-01-17,16.0,31.0,12.0,13.0
2019-01-01-18,19.0,26.0,12.0,14.0
2019-01-01-19,20.0,32.0,12.0,15.0
2019-01-01-20,20.0,37.0,12.0,16.0
2019-01-01-21,19.0,42.0,12.0,13.0
2019-01-01-22,17.0,47.0,15.0,11.0
2019-01-01-23,19.0,49.0,16.0,9.0
2019-01-02-00,19.0,44.0,16.0,8.0
2019-01-02-01,23.0,39.0,20.0,7.0
2019-01-02-02,22.0,43.0,20.0,8.0
2019-01-02-03,20.0,47.0,20.0,9.0
2019-01-02-04,18.0,53.0,23.0,8.0
2019-01-02-05,15.0,58.0,23.0,8.0
2019-01-02-06,12.0,63.0,23.0,8.0
2019-01-02-07,12.0,69.0,25.0,8.0
2019-01-02-08,12.0,73.0,25.0,9.0
2019-01-02-09,17.0,77.0,26.0,10.0
2019-01-02-10,19.0,82.0,24.0,9.0
2019-01-02-11,22.0,79.0,22.0,10.0
2019-01-02-12,26.0,76.0,19.0,11.0
2019-01-02-13,32.0,76.0,16.0,11.0
2019-01-02-14,38.0,71.0,16.0,11.0
2019-01-02-15,44.0,68.0,21.0,11.0
2019-01-02-16,50.0,66.0,20.0,12.0
2019-01-02-17,57.0,63.0,20.0,12.0
2019-01-02-18,66.0,60.0,20.0,13.0
2019-01-02-19,84.0,63.0,22.0,14.0
2019-01-02-20,112.0,65.0,19.0,12.0
2019-01-02-21,129.0,63.0,21.0,11.0
2019-01-02-22,149.0,65.0,21.0,10.0
2019-01-02-23,146.0,65.0,19.0,9.0
2019-01-03-00,145.0,66.0,15.0,9.0
2019-01-03-01,150.0,69.0,13.0,10.0
2019-01-03-02,163.0,69.0,14.0,9.0
2019-01-03-03,145.0,61.0,13.0,10.0
2019-01-03-04,118.0,56.0,12.0,8.0
2019-01-03-05,112.0,57.0,10.0,9.0
2019-01-03-06,89.0,57.0,12.0,11.0
