,東京,沖繩
2019-01-01-00,-999,-999
2019-01-01-01,0,13
2019-01-01-02,2,10
2019-01-01-03,0,10
2019-01-01-04,0,7
2019-01-01-05,6,11
2019-01-01-06,0,9
2019-01-01-07,1,10
2019-01-01-08,0,8
2019-01-01-09,0,9
2019-01-01-10,0,8
2019-01-01-11,0,7
2019-01-01-12,0,8
2019-01-01-13,10,8
2019-01-01-14,5,6
2019-01-01-15,1,7
2019-01-01-16,0,7
2019-01-01-17,10,9
2019-01-01-18,3,8
2019-01-01-19,9,9
2019-01-01-20,5,7
2019-01-01-21,16,7
2019-01-01-22,6,6
2019-01-01-23,10,6
2019-01-02-00,17,6
2019-01-02-01,0,7
2019-01-02-02,0,6
2019-01-02-03,0,6
2019-01-02-04,7,6
2019-01-02-05,0,7
2019-01-02-06,0,6
2019-01-02-07,7,9
2019-01-02-08,0,8
2019-01-02-09,0,6
2019-01-02-10,0,6
2019-01-02-11,0,6
2019-01-02-12,2,6
2019-01-02-13,3,7
2019-01-02-14,8,6
2019-01-02-15,0,5
2019-01-02-16,4,6
2019-01-02-17,0,6
2019-01-02-18,3,7
2019-01-02-19,8,7
2019-01-02-20,1,6
2019-01-02-21,4,6
2019-01-02-22,13,6
2019-01-02-23,7,7
2019-01-03-00,1,6
2019-01-03-01,3,4
2019-01-03-02,10,6
2019-01-03-03,0,6
2019-01-03-04,11,5
2019-01-03-05,0,7
2019-01-03-06,0,7
2019-01-03-07,4,5
2019-01-03-08,1,7
2019-01-03-09,7,6
2019-01-03-10,6,7
2019-01-03-11,0,7
2019-01-03-12,3,8
2019-01-03-13,8,7
2019-01-03-14,9,8
2019-01-03-15,4,9
2019-01-03-16,14,9
2019-01-03-17,9,8
2019-01-03-18,3,9
2019-01-03-19,7,9
2019-01-03-20,11,11
2019-01-03-21,16,9
2019-01-03-22,11,11
2019-01-03-23,25,9
2019-01-04-00,14,9
2019-01-04-01,13,7
2019-01-04-02,0,9
2019-01-04-03,13,10
2019-01-04-04,0,7
2019-01-04-05,4,9
2019-01-04-06,3,8
2019-01-04-07,0,8
2019-01-04-08,0,9
2019-01-04-09,10,8
2019-01-04-10,0,9
2019-01-04-11,-999,7
2019-01-04-12,7,7
2019-01-04-13,0,7
