,東京,沖繩
2019-01-01-00,-999,-999
2019-01-01-01,-3,4
2019-01-01-02,-1,2
2019-01-01-03,3,3
2019-01-01-04,-1,3
2019-01-01-05,5,2
2019-01-01-06,-2,4
2019-01-01-07,1,3
2019-01-01-08,1,3
2019-01-01-09,0,6
2019-01-01-10,2,5
2019-01-01-11,5,2
2019-01-01-12,3,4
2019-01-01-13,4,2
2019-01-01-14,19,0
2019-01-01-15,10,2
2019-01-01-16,7,2
2019-01-01-17,0,3
2019-01-01-18,-3,4
2019-01-01-19,1,4
2019-01-01-20,6,3
2019-01-01-21,6,2
2019-01-01-22,7,5
2019-01-01-23,9,1
2019-01-02-00,6,2
2019-01-02-01,7,2
2019-01-02-02,4,2
2019-01-02-03,4,4
2019-01-02-04,0,3
2019-01-02-05,0,1
2019-01-02-06,1,0
2019-01-02-07,1,4
2019-01-02-08,-6,3
2019-01-02-09,6,5
2019-01-02-10,4,5
2019-01-02-11,8,3
2019-01-02-12,10,2
2019-01-02-13,10,2
2019-01-02-14,3,4
2019-01-02-15,18,3
2019-01-02-16,8,3
2019-01-02-17,8,3
2019-01-02-18,-2,1
2019-01-02-19,-5,1
2019-01-02-20,-2,3
2019-01-02-21,3,3
2019-01-02-22,16,3
2019-01-02-23,5,1
2019-01-03-00,7,4
2019-01-03-01,18,5
2019-01-03-02,7,3
2019-01-03-03,4,4
2019-01-03-04,2,2
2019-01-03-05,2,1
2019-01-03-06,4,3
2019-01-03-07,-1,1
2019-01-03-08,3,3
2019-01-03-09,2,7
2019-01-03-10,6,7
2019-01-03-11,7,7
2019-01-03-12,7,4
2019-01-03-13,10,4
2019-01-03-14,29,6
2019-01-03-15,17,6
2019-01-03-16,13,6
2019-01-03-17,1,4
2019-01-03-18,-2,3
2019-01-03-19,-5,6
2019-01-03-20,1,7
2019-01-03-21,10,6
2019-01-03-22,10,6
2019-01-03-23,14,4
2019-01-04-00,9,5
2019-01-04-01,9,6
2019-01-04-02,13,6
2019-01-04-03,7,7
2019-01-04-04,4,4
2019-01-04-05,2,6
2019-01-04-06,-3,4
2019-01-04-07,2,6
2019-01-04-08,0,7
2019-01-04-09,1,10
2019-01-04-10,-3,7
2019-01-04-11,5,6
2019-01-04-12,10,5
2019-01-04-13,7,5
2019-01-04-14,7,5
2019-01-04-15,8,6
2019-01-04-16,6,6
2019-01-04-17,-3,5
