,首爾,濟州
2019-01-01-00,41.94,18.0
2019-01-01-01,43.06,18.0
2019-01-01-02,46.22,18.5
2019-01-01-03,43.17,16.0
2019-01-01-04,44.56,19.0
2019-01-01-05,44.83,15.0
2019-01-01-06,41.56,15.5
2019-01-01-07,39.59,20.5
2019-01-01-08,45.33,24.0
2019-01-01-09,42.06,22.0
2019-01-01-10,40.94,18.0
2019-01-01-11,37.72,20.0
2019-01-01-12,38.72,17.5
2019-01-01-13,41.28,20.5
2019-01-01-14,40.22,19.0
2019-01-01-15,34.89,19.5
2019-01-01-16,33.39,21.5
2019-01-01-17,33.39,21.5
2019-01-01-18,30.94,22.0
2019-01-01-19,31.22,23.5
2019-01-01-20,29.78,25.0
2019-01-01-21,27.28,28.0
2019-01-01-22,26.67,31.0
2019-01-01-23,24.28,35.0
2019-01-02-00,25.39,34.0
2019-01-02-01,24.72,34.0
2019-01-02-02,25.39,37.5
2019-01-02-03,24.94,33.5
2019-01-02-04,24.94,31.5
2019-01-02-05,26.17,32.0
2019-01-02-06,29.56,30.5
2019-01-02-07,31.78,31.5
2019-01-02-08,35.76,33.0
2019-01-02-09,37.89,38.5
2019-01-02-10,40.0,34.5
2019-01-02-11,38.17,36.0
2019-01-02-12,34.94,29.5
2019-01-02-13,32.41,33.0
2019-01-02-14,33.5,26.0
2019-01-02-15,36.88,25.0
2019-01-02-16,37.69,20.5
2019-01-02-17,36.78,21.0
2019-01-02-18,40.11,30.5
2019-01-02-19,41.24,20.5
2019-01-02-20,47.76,22.0
2019-01-02-21,47.22,18.0
2019-01-02-22,45.67,18.5
2019-01-02-23,36.72,17.5
2019-01-03-00,32.39,18.0
2019-01-03-01,31.72,19.0
2019-01-03-02,32.72,16.0
2019-01-03-03,31.17,16.0
2019-01-03-04,30.44,18.0
2019-01-03-05,30.56,10.5
2019-01-03-06,32.33,14.5
2019-01-03-07,35.56,19.0
2019-01-03-08,40.0,18.0
2019-01-03-09,42.78,20.5
2019-01-03-10,47.59,26.5
2019-01-03-11,48.94,24.5
2019-01-03-12,42.53,22.5
2019-01-03-13,34.29,23.0
2019-01-03-14,34.76,15.5
2019-01-03-15,33.47,17.5
2019-01-03-16,34.69,17.0
2019-01-03-17,37.81,22.0
2019-01-03-18,44.0,36.5
2019-01-03-19,46.39,33.0
2019-01-03-20,44.24,23.0
2019-01-03-21,37.22,20.5
2019-01-03-22,39.47,17.0
2019-01-03-23,44.71,16.0
2019-01-04-00,47.83,18.0
2019-01-04-01,48.44,17.5
2019-01-04-02,50.89,18.0
2019-01-04-03,50.56,21.0
2019-01-04-04,51.28,22.0
2019-01-04-05,50.33,21.0
2019-01-04-06,53.28,21.0
2019-01-04-07,52.17,23.0
2019-01-04-08,56.39,34.0
2019-01-04-09,64.28,39.5
2019-01-04-10,73.61,37.0
2019-01-04-11,73.17,37.0
2019-01-04-12,75.11,37.5
2019-01-04-13,73.22,28.0
2019-01-04-14,80.53,27.0
2019-01-04-15,74.94,27.0
2019-01-04-16,67.71,27.0
2019-01-04-17,57.29,25.5
2019-01-04-18,54.33,-999.0
2019-01-04-19,52.12,31.5
2019-01-04-20,54.5,27.0
2019-01-04-21,58.56,20.5
2019-01-04-22,64.06,21.0
2019-01-04-23,68.44,17.0
2019-01-05-00,80.61,13.5
2019-01-05-01,101.44,21.5
2019-01-05-02,131.18,22.0
2019-01-05-03,125.17,24.0
2019-01-05-04,101.28,31.0
2019-01-05-05,84.28,30.0
2019-01-05-06,74.39,36.0
2019-01-05-07,64.61,43.5
2019-01-05-08,61.39,72.0
2019-01-05-09,60.0,99.5
2019-01-05-10,57.78,108.0
2019-01-05-11,55.67,114.5
2019-01-05-12,48.33,124.0
2019-01-05-13,41.67,104.0
2019-01-05-14,38.33,82.0
2019-01-05-15,35.67,72.0
2019-01-05-16,35.72,52.5
2019-01-05-17,36.22,40.0
2019-01-05-18,36.06,44.0
2019-01-05-19,37.06,49.0
2019-01-05-20,42.39,47.0
2019-01-05-21,43.53,31.0
2019-01-05-22,47.94,27.0
2019-01-05-23,51.18,37.5
2019-01-06-00,51.83,42.5
2019-01-06-01,51.67,39.0
2019-01-06-02,52.5,19.5
2019-01-06-03,52.17,17.0
2019-01-06-04,53.78,21.5
2019-01-06-05,52.78,18.5
2019-01-06-06,54.11,22.0
2019-01-06-07,55.17,20.5
2019-01-06-08,58.5,26.0
2019-01-06-09,60.33,21.0
2019-01-06-10,65.33,26.5
2019-01-06-11,65.56,20.5
2019-01-06-12,69.33,28.5
2019-01-06-13,64.72,25.5
2019-01-06-14,59.0,23.5
2019-01-06-15,54.0,24.5
2019-01-06-16,39.28,21.0
2019-01-06-17,31.39,26.0
2019-01-06-18,29.89,22.5
2019-01-06-19,29.06,26.0
2019-01-06-20,30.5,26.5
2019-01-06-21,31.18,23.5
2019-01-06-22,34.61,21.0
2019-01-06-23,37.33,20.0
2019-01-07-00,38.0,20.0
2019-01-07-01,37.83,17.5
2019-01-07-02,37.61,13.5
2019-01-07-03,37.33,17.0
2019-01-07-04,39.33,18.0
2019-01-07-05,39.39,14.5
2019-01-07-06,42.22,16.5
2019-01-07-07,46.72,21.5
2019-01-07-08,52.44,28.0
2019-01-07-09,58.33,28.5
2019-01-07-10,65.28,23.5
2019-01-07-11,59.39,21.5
2019-01-07-12,60.44,18.0
2019-01-07-13,63.56,17.0
2019-01-07-14,71.71,36.5
2019-01-07-15,71.0,32.5
2019-01-07-16,69.17,27.5
2019-01-07-17,62.83,27.5
2019-01-07-18,67.94,50.5
2019-01-07-19,72.89,71.0
2019-01-07-20,77.41,59.5
2019-01-07-21,74.39,64.0
2019-01-07-22,73.44,57.5
2019-01-07-23,63.39,50.0
2019-01-08-00,57.78,47.0
2019-01-08-01,47.83,49.0
2019-01-08-02,35.94,48.0
2019-01-08-03,25.83,52.0
2019-01-08-04,25.56,40.0
2019-01-08-05,26.83,42.5
2019-01-08-06,31.33,42.5
2019-01-08-07,34.61,43.5
2019-01-08-08,41.22,43.0
2019-01-08-09,41.61,46.5
2019-01-08-10,44.0,45.5
2019-01-08-11,42.82,56.0
2019-01-08-12,41.94,54.0
2019-01-08-13,42.24,66.5
2019-01-08-14,47.28,59.0
2019-01-08-15,53.73,61.5
2019-01-08-16,59.88,55.5
2019-01-08-17,46.53,37.0
2019-01-08-18,36.44,31.0
2019-01-08-19,42.2,34.0
2019-01-08-20,55.5,30.5
2019-01-08-21,43.67,32.0
2019-01-08-22,38.65,42.0
2019-01-08-23,37.5,29.5
2019-01-09-00,38.0,33.5
2019-01-09-01,37.5,28.0
2019-01-09-02,36.89,29.5
2019-01-09-03,34.06,24.0
2019-01-09-04,32.33,22.0
2019-01-09-05,31.72,21.0
2019-01-09-06,33.67,16.5
2019-01-09-07,37.0,17.5
2019-01-09-08,43.0,24.0
2019-01-09-09,48.22,24.5
2019-01-09-10,56.0,25.0
2019-01-09-11,61.94,23.5
2019-01-09-12,63.78,22.0
2019-01-09-13,60.22,16.5
2019-01-09-14,57.17,21.0
2019-01-09-15,55.35,24.0
2019-01-09-16,63.18,24.5
2019-01-09-17,66.61,23.0
2019-01-09-18,70.44,27.5
2019-01-09-19,73.17,35.5
2019-01-09-20,70.22,23.5
2019-01-09-21,60.39,20.5
2019-01-09-22,59.94,22.5
2019-01-09-23,57.33,24.0
2019-01-10-00,57.89,25.5
2019-01-10-01,57.06,20.0
2019-01-10-02,57.39,21.0
2019-01-10-03,52.78,23.5
2019-01-10-04,52.39,23.0
2019-01-10-05,50.44,24.0
2019-01-10-06,50.28,16.5
2019-01-10-07,48.22,21.5
2019-01-10-08,52.17,26.0
2019-01-10-09,58.89,24.0
2019-01-10-10,66.11,19.0
2019-01-10-11,67.18,21.0
2019-01-10-12,63.83,25.5
2019-01-10-13,60.89,22.0
2019-01-10-14,68.12,18.0
2019-01-10-15,60.82,16.0
2019-01-10-16,54.06,17.0
2019-01-10-17,53.78,19.5
2019-01-10-18,54.5,15.0
2019-01-10-19,58.0,19.5
2019-01-10-20,59.0,19.0
2019-01-10-21,57.33,18.0
2019-01-10-22,56.0,11.5
2019-01-10-23,56.44,15.0
2019-01-11-00,57.44,17.0
2019-01-11-01,59.56,18.0
2019-01-11-02,62.0,25.5
2019-01-11-03,62.67,26.0
2019-01-11-04,64.89,27.0
2019-01-11-05,64.72,33.0
2019-01-11-06,64.56,42.5
2019-01-11-07,65.61,53.0
2019-01-11-08,68.94,75.0
2019-01-11-09,72.56,79.5
2019-01-11-10,82.0,75.0
2019-01-11-11,84.28,73.5
2019-01-11-12,85.39,70.5
2019-01-11-13,89.59,68.0
2019-01-11-14,98.12,76.0
2019-01-11-15,99.67,51.0
2019-01-11-16,102.5,55.0
2019-01-11-17,100.56,45.0
2019-01-11-18,104.39,49.0
2019-01-11-19,101.89,44.5
2019-01-11-20,109.22,38.0
2019-01-11-21,105.72,39.5
2019-01-11-22,101.41,29.0
2019-01-11-23,97.22,33.5
2019-01-12-00,97.67,33.5
2019-01-12-01,94.94,31.0
2019-01-12-02,95.89,23.5
2019-01-12-03,93.33,30.5
2019-01-12-04,95.0,37.5
2019-01-12-05,91.17,37.5
2019-01-12-06,92.56,38.5
2019-01-12-07,89.94,28.0
2019-01-12-08,95.0,26.5
2019-01-12-09,97.56,26.5
2019-01-12-10,109.11,28.0
2019-01-12-11,116.28,29.0
2019-01-12-12,117.22,35.0
2019-01-12-13,110.39,39.0
2019-01-12-14,102.0,48.0
2019-01-12-15,90.28,50.0
2019-01-12-16,94.89,63.0
2019-01-12-17,95.78,83.0
2019-01-12-18,93.41,79.5
2019-01-12-19,85.94,68.5
2019-01-12-20,90.67,58.0
2019-01-12-21,90.29,45.0
2019-01-12-22,94.18,56.0
2019-01-12-23,93.67,41.0
2019-01-13-00,97.5,46.0
2019-01-13-01,96.61,32.0
2019-01-13-02,104.44,34.0
2019-01-13-03,104.28,35.0
2019-01-13-04,102.18,35.5
2019-01-13-05,100.67,32.0
2019-01-13-06,101.78,31.5
2019-01-13-07,99.94,34.5
2019-01-13-08,105.28,34.0
2019-01-13-09,108.22,42.0
2019-01-13-10,119.5,51.0
2019-01-13-11,125.61,52.5
2019-01-13-12,127.39,56.0
2019-01-13-13,118.5,54.5
2019-01-13-14,111.39,53.5
2019-01-13-15,103.78,55.5
2019-01-13-16,113.44,47.0
2019-01-13-17,121.33,55.0
2019-01-13-18,134.89,60.5
2019-01-13-19,138.11,59.0
2019-01-13-20,141.67,60.5
2019-01-13-21,137.89,62.5
2019-01-13-22,135.41,66.5
2019-01-13-23,134.94,62.5
2019-01-14-00,138.61,59.0
2019-01-14-01,136.89,56.0
2019-01-14-02,136.72,60.5
2019-01-14-03,134.56,58.0
2019-01-14-04,134.67,56.0
2019-01-14-05,132.44,63.5
2019-01-14-06,135.83,67.5
2019-01-14-07,136.72,74.5
2019-01-14-08,143.67,76.0
2019-01-14-09,151.11,82.0
2019-01-14-10,162.33,65.5
2019-01-14-11,175.56,66.0
2019-01-14-12,189.67,59.5
2019-01-14-13,190.28,68.0
2019-01-14-14,191.11,68.0
2019-01-14-15,193.5,78.0
2019-01-14-16,201.06,93.5
2019-01-14-17,205.06,103.0
2019-01-14-18,203.44,111.0
2019-01-14-19,194.17,109.5
2019-01-14-20,181.94,101.5
2019-01-14-21,172.72,92.0
2019-01-14-22,172.0,82.5
2019-01-14-23,174.0,74.5
2019-01-15-00,181.33,71.5
2019-01-15-01,181.67,77.0
2019-01-15-02,180.11,65.5
2019-01-15-03,183.5,54.0
2019-01-15-04,179.17,61.5
2019-01-15-05,178.5,56.0
2019-01-15-06,179.94,64.0
2019-01-15-07,174.33,76.5
2019-01-15-08,171.83,98.0
2019-01-15-09,163.44,90.0
2019-01-15-10,146.56,81.0
2019-01-15-11,142.89,89.0
2019-01-15-12,148.39,70.0
2019-01-15-13,129.22,41.5
2019-01-15-14,106.18,42.0
2019-01-15-15,99.67,59.5
2019-01-15-16,98.78,43.0
2019-01-15-17,90.06,58.5
2019-01-15-18,76.88,78.0
2019-01-15-19,80.06,62.0
2019-01-15-20,79.06,53.0
2019-01-15-21,89.33,45.0
2019-01-15-22,97.22,42.0
2019-01-15-23,92.94,34.0
2019-01-16-00,87.78,31.0
2019-01-16-01,76.22,23.0
2019-01-16-02,66.33,25.0
2019-01-16-03,57.11,24.0
2019-01-16-04,52.0,21.0
2019-01-16-05,47.28,25.0
2019-01-16-06,44.61,34.0
2019-01-16-07,44.61,46.0
2019-01-16-08,47.61,29.0
2019-01-16-09,49.78,26.0
2019-01-16-10,53.72,28.5
2019-01-16-11,51.82,31.5
2019-01-16-12,45.29,29.0
2019-01-16-13,34.33,27.0
2019-01-16-14,28.22,33.0
2019-01-16-15,27.78,20.0
2019-01-16-16,30.39,22.5
2019-01-16-17,31.29,13.0
2019-01-16-18,35.5,11.0
2019-01-16-19,34.94,23.0
2019-01-16-20,32.72,12.0
2019-01-16-21,29.18,19.0
2019-01-16-22,29.78,20.5
2019-01-16-23,28.17,18.0
2019-01-17-00,28.39,12.5
2019-01-17-01,31.28,28.0
2019-01-17-02,33.17,23.0
2019-01-17-03,35.0,22.0
2019-01-17-04,36.78,19.0
2019-01-17-05,37.33,16.0
2019-01-17-06,41.22,18.0
2019-01-17-07,45.47,13.5
2019-01-17-08,53.82,21.5
2019-01-17-09,66.39,21.0
2019-01-17-10,64.67,22.0
2019-01-17-11,59.11,18.0
2019-01-17-12,52.06,25.0
2019-01-17-13,44.39,28.0
2019-01-17-14,39.41,28.0
2019-01-17-15,40.41,27.5
2019-01-17-16,42.06,30.0
2019-01-17-17,44.94,28.0
2019-01-17-18,48.35,29.5
2019-01-17-19,50.89,28.0
2019-01-17-20,51.61,35.5
2019-01-17-21,45.94,36.0
2019-01-17-22,42.28,37.0
2019-01-17-23,39.56,38.5
2019-01-18-00,37.28,40.0
2019-01-18-01,33.94,38.0
2019-01-18-02,34.39,42.5
2019-01-18-03,32.78,40.5
2019-01-18-04,33.17,34.5
2019-01-18-05,32.33,36.5
2019-01-18-06,34.89,36.0
2019-01-18-07,39.28,43.5
2019-01-18-08,44.39,48.0
2019-01-18-09,52.78,57.0
2019-01-18-10,60.88,45.5
2019-01-18-11,56.82,43.5
2019-01-18-12,48.18,37.0
2019-01-18-13,56.06,44.0
2019-01-18-14,72.35,52.5
2019-01-18-15,82.88,44.0
2019-01-18-16,93.33,47.5
2019-01-18-17,95.72,46.0
2019-01-18-18,99.39,40.5
2019-01-18-19,97.18,61.0
2019-01-18-20,99.39,56.0
2019-01-18-21,97.59,48.0
2019-01-18-22,101.61,43.0
2019-01-18-23,101.11,36.5
2019-01-19-00,103.61,29.0
2019-01-19-01,100.94,23.5
2019-01-19-02,103.89,32.5
2019-01-19-03,100.11,27.0
2019-01-19-04,101.0,22.5
2019-01-19-05,98.0,24.0
2019-01-19-06,101.39,21.0
2019-01-19-07,101.56,24.0
2019-01-19-08,107.39,31.0
2019-01-19-09,113.06,38.5
2019-01-19-10,119.94,49.0
2019-01-19-11,123.67,51.5
2019-01-19-12,123.5,68.0
2019-01-19-13,113.72,47.0
2019-01-19-14,93.67,49.0
2019-01-19-15,68.17,45.0
2019-01-19-16,58.28,46.0
2019-01-19-17,56.94,43.0
2019-01-19-18,64.44,41.0
2019-01-19-19,68.06,34.0
2019-01-19-20,77.28,42.0
2019-01-19-21,92.12,51.5
2019-01-19-22,106.33,44.5
2019-01-19-23,107.44,63.5
2019-01-20-00,102.67,91.5
2019-01-20-01,107.5,68.0
2019-01-20-02,119.17,65.5
2019-01-20-03,122.83,67.5
2019-01-20-04,118.17,42.5
2019-01-20-05,85.67,22.5
2019-01-20-06,64.33,26.5
2019-01-20-07,63.11,25.5
2019-01-20-08,62.5,28.0
2019-01-20-09,53.56,58.0
2019-01-20-10,53.22,61.5
2019-01-20-11,52.33,47.0
2019-01-20-12,52.5,36.5
2019-01-20-13,54.72,35.0
2019-01-20-14,60.28,29.0
2019-01-20-15,64.44,31.0
2019-01-20-16,57.06,23.5
2019-01-20-17,45.72,29.0
2019-01-20-18,44.06,27.5
2019-01-20-19,45.5,26.5
2019-01-20-20,44.78,25.0
2019-01-20-21,42.33,25.5
2019-01-20-22,37.78,26.5
2019-01-20-23,33.33,22.0
2019-01-21-00,31.78,24.0
2019-01-21-01,29.56,25.0
2019-01-21-02,27.72,29.0
2019-01-21-03,26.0,25.0
2019-01-21-04,27.89,17.5
2019-01-21-05,28.5,21.0
2019-01-21-06,31.61,21.0
2019-01-21-07,35.06,21.0
2019-01-21-08,40.33,21.5
2019-01-21-09,40.83,25.5
2019-01-21-10,42.28,21.5
2019-01-21-11,43.39,17.5
